Area,Pb,Cd,As
NonEndemic,0.38,0.37,0.48
NonEndemic,0.17,0.35,1.95
NonEndemic,0.18,0.3,1.65
NonEndemic,0.15,0.18,2.95
NonEndemic,1.08,0.16,2.32
NonEndemic,0.29,0.24,1.29
NonEndemic,0.26,0.34,1.19
NonEndemic,0.22,0.37,2.22
NonEndemic,0.31,0.42,2.95
NonEndemic,0.22,0.35,1.6
Endemic,0.9,0.7,6.1
Endemic,0.4,1,6.5
Endemic,0.2,0.6,3.8
Endemic,0.2,1.1,1.6
Endemic,0.4,0.9,5.9
Endemic,0.3,1.1,6.2
Endemic,0.3,0.5,5.1
Endemic,0.3,0.8,2.9
Endemic,0.3,1.1,6.1
Endemic,0.3,1,6.7
Endemic,0.3,1.1,6.5
Endemic,0.1,1.3,6
Endemic,0.4,0.8,8.6
Endemic,0.4,1.2,3.6
Endemic,0.4,1.3,7.2
Endemic,0.3,1,10.5
Endemic,0.3,0.9,5.9
Endemic,0.2,1,8.4
Endemic,0.5,0.9,13.4
Endemic,0.5,0.8,6.4
Endemic,0.3,1.1,6.7
Endemic,3,0.6,5.6
Endemic,0.2,0.4,1
Endemic,0.3,0.1,1.8
Endemic,0.1,0.4,3
Endemic,0.3,0.3,2.2
Endemic,0.3,0.5,5
Endemic,0.2,0.9,0.7
Endemic,0.3,0.2,4.4
Endemic,0.1,0.6,4.8
Endemic,0.1,0.2,0.7
Endemic,0.2,0.5,3.5
Endemic,0.4,0.3,0.4
Endemic,0.1,1.2,8.4
Endemic,0.5,1.1,6.2
Endemic,0.2,1.2,10.2
Endemic,0.4,1.2,2.6
Endemic,0.3,1.4,5.9
Endemic,0.3,1.1,8.3
Endemic,0.4,1.3,3.6
Endemic,0.6,1.1,6.7
Endemic,0.6,1.4,5.3
Endemic,0.4,1,6.3
Endemic,0.2,0.7,2.5
Endemic,0.1,0.4,0.8
Endemic,0.6,0.9,9.9
Endemic,0.3,1,6.5
Endemic,0.5,0.9,5.8
Endemic,0.7,1.2,3
Endemic,0.3,0.7,6.6
Endemic,0.3,1.2,7.6
Endemic,0.9,0.7,7.1
Endemic,0.2,0.9,8.2
Endemic,0.2,1,8.2
Endemic,0.2,1,3.3
Endemic,0.3,1.2,4.9
Endemic,0.2,0.8,4.4
Endemic,0.3,1.3,4.5
Endemic,0.3,0.7,6
Endemic,0.6,1,5.7
Endemic,0.3,1.4,7.2
Endemic,0.3,0.6,6.6
Endemic,0.4,0.9,2.7
Endemic,0.2,0.2,0.7
Endemic,0.3,1.4,1.5
Endemic,0.2,0.3,1.1
Endemic,0.1,0.7,2.1
Endemic,0.4,0.1,1.8
Endemic,0.3,0.5,3.9
Endemic,0.1,0.4,3.5
Endemic,0.1,0.8,8
Endemic,0.6,0.2,2
Endemic,0.1,0.9,6.1
Endemic,0.2,0.4,0.6
Endemic,0.1,0.4,0.7
Endemic,0.2,0.4,0.7
Endemic,0.1,0.6,0.3
Endemic,0.2,0.6,0.7
Endemic,0.7,0.7,0.7
Endemic,0.8,0.4,4.5
Endemic,0.1,0.2,6.1
Endemic,1.4,0.3,6.3
Endemic,0.2,0.1,5.5
Endemic,0.1,0.1,4.3
Endemic,0.1,0.1,3.6
Endemic,0.1,0.2,1.1
Endemic,0.1,0.1,0.7
Endemic,0.1,0.1,2.8
Endemic,0.1,0.6,0.8
Endemic,0.2,0.2,1.8
Endemic,0.1,0.3,1.4
Endemic,0.1,0.1,5
Endemic,0.3,0.6,2.4
Endemic,0.2,0.1,6.6
Endemic,0.1,0.5,0.7
Endemic,0.1,0.2,2.1
Endemic,0.1,0.2,6.4
Endemic,0.1,0.3,4
